Attribute,Value,Reference Period,Inflation
2015M1,87.75766385,2019A,0.998
2015M2,87.71378502,2019A,0.9995
2015M3,87.8453557,2019A,1.0015
2015M4,87.96833919,2019A,1.0014
2015M5,88.10908854,2019A,1.0016
2015M6,88.41747035,2019A,1.0035
2015M7,88.53241306,2019A,1.0013
2015M8,88.47044037,2019A,0.9993
2015M9,88.28465244,2019A,0.9979
2015M10,88.38176556,2019A,1.0011
2015M11,88.44380956,2019A,1.000702
2015M12,88.45857968,2019A,1.000167
2016M1,88.45698742,2019A,0.999982
2016M2,88.82779911,2019A,1.004192
2016M3,89.33367343,2019A,1.005695
2016M4,89.63276257,2019A,1.003348
2016M5,90.11749655,2019A,1.005408
2016M6,90.53609232,2019A,1.004645
2016M7,90.65197852,2019A,1.00128
2016M8,90.74480614,2019A,1.001024
2016M9,91.23764119,2019A,1.005431
2016M10,91.99655589,2019A,1.008318
2016M11,92.43878333,2019A,1.004807
2016M12,92.64908156,2019A,1.002275
2017M1,93.07193197,2019A,1.004564
2017M2,93.28953415,2019A,1.002338
2017M3,93.48357638,2019A,1.00208
2017M4,93.48656785,2019A,1.000032
2017M5,92.99347951,2019A,0.99472557
2017M6,92.83436766,2019A,0.998289
2017M7,92.93620696,2019A,1.001097
2017M8,93.78861785,2019A,1.009172
2017M9,94.34394026,2019A,1.005921
2017M10,94.7341468,2019A,1.004136
2017M11,94.8587222,2019A,1.001315
2017M12,95.0545106,2019A,1.002064
2018M1,95.53748257,2019A,1.005081
2018M2,96.23223115,2019A,1.007272
2018M3,95.97327021,2019A,0.997309
2018M4,96.05331192,2019A,1.000834
2018M5,96.58016433,2019A,1.005485
2018M6,97.16785463,2019A,1.006085
2018M7,97.07982056,2019A,0.999094
2018M8,97.51871843,2019A,1.004521
2018M9,98.09749202,2019A,1.005935
2018M10,98.4227833,2019A,1.003316
2018M11,98.138932,2019A,0.997116
2018M12,97.88995353,2019A,0.997463
2019M1,97.98608146,2019A,1.000982
2019M2,98.77153789,2019A,1.008016
2019M3,98.56451275,2019A,0.997904
2019M4,98.86976704,2019A,1.003097
2019M5,99.35719499,2019A,1.00493
2019M6,99.26558766,2019A,0.999078
2019M7,99.44585397,2019A,1.001816
2019M8,99.7244018,2019A,1.002801
2019M9,100.0388328,2019A,1.003153
2019M10,100.6241601,2019A,1.005851001
2019M11,101.5927682,2019A,1.009625999
2019M12,103.014051,2019A,1.01399
2020M1,104.2840083,2019A,1.012328001
2020M2,104.109854,2019A,0.99833
2020M3,103.3631781,2019A,0.992828
2020M4,101.7683876,2019A,0.984571
2020M5,101.7376536,2019A,0.999698001
2020M6,102.4074943,2019A,1.006584
2020M7,102.8164074,2019A,1.003993
2020M8,102.8928,2019A,1.000743
2020M9,103.0209015,2019A,1.001245
2020M10,103.1093965,2019A,1.000859
2020M11,103.1007353,2019A,0.999916
2020M12,103.2067229,2019A,1.001028
2021M1,103.2711239,2019A,1.000624
2021M2,104.8388828,2019A,1.015181
2021M3,104.5582291,2019A,0.997323
2021M4,104.5181833,2019A,0.999617
2021M5,104.6837401,2019A,1.001584
2021M6,104.8799174,2019A,1.001874
2021M7,105.53269,2019A,1.006224
2021M8,105.7943056,2019A,1.002479001
2021M9,105.1431416,2019A,0.993845
2021M10,104.9295959,2019A,0.997969
2021M11,105.266315,2019A,1.003209
2021M12,105.0751513,2019A,0.998183999
